gameid,time,roundNum,sender,contents
5270-b,1592922471591,1,listener,"hello"
5270-b,1592922508654,1,speaker,"ki"
5270-b,1592922522638,1,speaker,"black color"
5270-b,1592922538620,2,speaker,"green"
5270-b,1592922552860,3,speaker,"blue"
5270-b,1592922563360,3,listener,"there are two blue"
5270-b,1592922567333,3,listener,"all blue?"
5270-b,1592922575902,3,speaker,"cover"
5270-b,1592922605133,4,speaker,"green tall"
5270-b,1592922637023,5,speaker,"green chip"
5270-b,1592922669148,6,speaker,"green over"
5270-b,1592922685251,7,speaker,"door"
5270-b,1592922702354,8,speaker,"non green"
5270-b,1592922729833,9,speaker,"half hand"
5270-b,1592922763110,10,speaker,"green"
5270-b,1592922805116,11,speaker,"dark blue"
5270-b,1592922827120,12,speaker,"light blue"
5270-b,1592922873552,13,speaker,"blue"
5270-b,1592922906212,14,speaker,"vessel"
5270-b,1592922935472,15,speaker,"dark blue"
5270-b,1592922959430,16,speaker,"green"
5270-b,1592922986115,17,speaker,"door"
5270-b,1592923033322,18,speaker,"dark green"
5270-b,1592923060954,19,speaker,"dark blue"
5270-b,1592923074069,20,speaker,"box"
5270-b,1592923103904,21,speaker,"non green"
5270-b,1592923175231,22,speaker,"light green"
5270-b,1592923186893,23,speaker,"bowl"
5270-b,1592923200553,24,speaker,"green"
5270-b,1592923222623,25,speaker,"bowl"
5270-b,1592923248804,26,speaker,"brown"
5270-b,1592923263284,27,speaker,"green"
5270-b,1592923283473,28,speaker,"green"
5270-b,1592923297004,29,speaker,"blue"
5270-b,1592923312799,30,speaker,"green"
5270-b,1592923339898,31,speaker,"non green"
5270-b,1592923359993,32,speaker,"small"
