gameid,time,roundNum,sender,contents
2874-c,1592922664971,1,speaker,"it's a blue, wooden box with it's lid open"
2874-c,1592922674313,2,speaker,"it's a green marble, metallic"
2874-c,1592922685000,3,speaker,"green, cardboard box"
2874-c,1592922695871,4,speaker,"long, blue table, four legs"
2874-c,1592922708360,5,listener,"Great clue"
2874-c,1592922715992,5,speaker,"it's the blue plate"
2874-c,1592922726903,6,speaker,"it's the red door"
2874-c,1592922739927,7,speaker,"the green, glass bottle"
2874-c,1592922752584,7,listener,"with the medal clamp?"
2874-c,1592922754936,7,speaker,"yes"
2874-c,1592922765759,8,speaker,"blue vase"
2874-c,1592922777544,9,speaker,"gray, metal table"
2874-c,1592922784727,10,speaker,"green boot"
2874-c,1592922794766,11,speaker,"purple jean jacket"
2874-c,1592922813339,12,speaker,"long, blue table"
2874-c,1592922823153,13,speaker,"green table"
2874-c,1592922835230,14,speaker,"green, plastic cup"
2874-c,1592922844343,15,speaker,"green wooden spoon"
2874-c,1592922853801,16,speaker,"metallic ball"
2874-c,1592922861918,17,speaker,"wooden door"
2874-c,1592922872317,18,speaker,"blue, metallic pitcher"
2874-c,1592922886702,19,speaker,"blue bowl"
2874-c,1592922898925,20,speaker,"green, plastic bottle with liquid in it"
2874-c,1592922907390,21,speaker,"wooden vase"
2874-c,1592922917839,22,speaker,"green, plastic bag"
2874-c,1592922924902,23,speaker,"blue ruler"
2874-c,1592922931093,24,speaker,"blue ball"
2874-c,1592922938911,25,speaker,"green ruler"
2874-c,1592922947980,26,speaker,"green chair"
2874-c,1592922958941,27,speaker,"purple chair"
2874-c,1592922967756,28,speaker,"blue bowl"
2874-c,1592922974446,29,speaker,"blue, plastic bag"
2874-c,1592922981853,30,speaker,"blue plate"
2874-c,1592922994108,30,speaker,"plastic, not paper"
2874-c,1592922998606,30,listener,"paper or plastic"
2874-c,1592923010797,31,speaker,"blue, paper plate"
2874-c,1592923021548,32,speaker,"green, glass bowl"
