gameid,time,roundNum,sender,contents
8411-d,1592922756618,1,speaker,"blue ball"
8411-d,1592922763701,2,speaker,"green ruler"
8411-d,1592922773308,3,speaker,"blue metallic pitcher"
8411-d,1592922783016,4,speaker,"blue box"
8411-d,1592922790881,5,speaker,"blue table"
8411-d,1592922797726,6,speaker,"green chair"
8411-d,1592922809664,7,speaker,"blue paper looking plate"
8411-d,1592922819543,8,speaker,"green glass bowl"
8411-d,1592922827902,9,speaker,"brown vase"
8411-d,1592922838273,10,speaker,"low blue bowl"
8411-d,1592922848134,11,speaker,"green box"
8411-d,1592922855386,12,speaker,"long blue table"
8411-d,1592922862059,13,speaker,"green spoon"
8411-d,1592922867671,14,speaker,"ruler"
8411-d,1592922873090,15,speaker,"bag"
8411-d,1592922880761,16,speaker,"long green table"
8411-d,1592922887011,17,speaker,"purple chair"
8411-d,1592922892442,18,speaker,"blue vase"
8411-d,1592922898570,19,speaker,"green boot"
8411-d,1592922904099,20,speaker,"door"
8411-d,1592922912975,21,speaker,"purple denim jacket"
8411-d,1592922920519,22,speaker,"silver ball"
8411-d,1592922929280,23,speaker,"blue plastic plate"
8411-d,1592922948501,24,speaker,"plastic bottle"
8411-d,1592922956787,25,speaker,"green ball"
8411-d,1592922962106,26,speaker,"blue plate"
8411-d,1592922966001,27,speaker,"door"
8411-d,1592922971843,28,speaker,"silver table"
8411-d,1592922979034,29,speaker,"green glass bottle"
8411-d,1592922986992,30,speaker,"bowl"
8411-d,1592922995436,31,speaker,"green plastic cup"
8411-d,1592923001234,32,speaker,"bag"
