gameid,time,roundNum,sender,contents
3045-2,1592922943607,1,speaker,"the green table"
3045-2,1592922954451,2,speaker,"the large blue table"
3045-2,1592922960391,3,speaker,"green bag"
3045-2,1592922969329,4,speaker,"purple denim jacket"
3045-2,1592922975840,5,speaker,"green spoon"
3045-2,1592922980928,6,speaker,"ball"
3045-2,1592922986713,7,speaker,"blue table"
3045-2,1592922991712,8,speaker,"blue bag"
3045-2,1592922999096,9,speaker,"green short boot"
3045-2,1592923006297,10,speaker,"green bowl"
3045-2,1592923011215,11,speaker,"silver"
3045-2,1592923019112,12,speaker,"blue bowl"
3045-2,1592923027145,13,speaker,"blue metallic jug"
3045-2,1592923033208,14,speaker,"ruler"
3045-2,1592923042017,15,speaker,"green plastic bottle"
3045-2,1592923049784,16,speaker,"green metal bottle"
3045-2,1592923061897,17,speaker,"blue chest/box"
3045-2,1592923066785,18,speaker,"door"
3045-2,1592923071442,19,speaker,"door"
3045-2,1592923076609,20,speaker,"blue thing"
3045-2,1592923081351,21,speaker,"green ball"
3045-2,1592923085569,22,speaker,"purple"
3045-2,1592923091856,23,speaker,"weird brown thing"
3045-2,1592923101881,24,speaker,"blue plate, it's the shinier one"
3045-2,1592923109854,25,speaker,"bowl, blue/silver"
3045-2,1592923116956,26,speaker,"ball"
3045-2,1592923126629,27,speaker,"green plastic cup"
3045-2,1592923131389,28,speaker,"ruler"
3045-2,1592923136362,29,speaker,"box"
3045-2,1592923140785,30,speaker,"blue"
3045-2,1592923146809,31,speaker,"blue, duller plate"
3045-2,1592923151641,32,speaker,"green"
