gameid,time,roundNum,sender,contents
5178-c,1592923062662,1,speaker,"hello"
5178-c,1592923072932,1,listener,"hi"
5178-c,1592923080599,1,speaker,"i see a green, plastic cup"
5178-c,1592923100223,2,speaker,"blue plate with ridges"
5178-c,1592923114394,3,speaker,"green plastic sack"
5178-c,1592923138906,4,speaker,"blue rectangular table"
5178-c,1592923157149,5,speaker,"blue vase"
5178-c,1592923168364,6,speaker,"green glass bottle"
5178-c,1592923187070,7,speaker,"purple metal chair"
5178-c,1592923203172,8,speaker,"blue metal pitcher"
5178-c,1592923223368,9,speaker,"silver paperweight egg shaped"
5178-c,1592923239259,10,speaker,"purple jean jacket"
5178-c,1592923252721,11,speaker,"green cardboard box"
5178-c,1592923262569,12,speaker,"green metal chair"
5178-c,1592923275841,13,speaker,"blue ruler"
5178-c,1592923281820,14,speaker,"red door"
5178-c,1592923294304,15,speaker,"blue rectangular table"
5178-c,1592923312439,16,speaker,"glass bowl"
5178-c,1592923325064,17,speaker,"blue ridged plate"
5178-c,1592923337527,18,speaker,"bright green boot"
5178-c,1592923353724,19,speaker,"blue plastic plate"
5178-c,1592923372038,20,speaker,"glass bowl"
5178-c,1592923383846,21,speaker,"wood door"
5178-c,1592923395187,22,speaker,"blue bag"
5178-c,1592923403292,23,speaker,"green rectangular table"
5178-c,1592923415634,24,speaker,"brown vase"
5178-c,1592923430063,25,speaker,"blue wooden box"
5178-c,1592923443002,26,speaker,"green wooden spoon"
5178-c,1592923462760,27,speaker,"blue plastic ball"
5178-c,1592923475852,28,speaker,"green metal egg"
5178-c,1592923490101,29,speaker,"metal bowl"
5178-c,1592923500061,30,speaker,"ruler"
5178-c,1592923511535,31,speaker,"silver rectangular table"
5178-c,1592923521640,32,speaker,"green plastic bottle"
