gameid,time,roundNum,sender,contents
3954-5,1592923113386,1,speaker,"bowl"
3954-5,1592923141173,2,speaker,"NOT a blue table"
3954-5,1592923151872,3,speaker,"bowl"
3954-5,1592923173594,4,speaker,"blue paper plate"
3954-5,1592923186767,4,listener,"so the slightly lighter blue?"
3954-5,1592923196131,4,speaker,"yes"
3954-5,1592923209570,5,speaker,"wooden vase"
3954-5,1592923231775,6,speaker,"blue plastic plate, darker blue"
3954-5,1592923251697,7,speaker,"purple chair"
3954-5,1592923262861,8,speaker,"green boot"
3954-5,1592923271076,9,speaker,"door"
3954-5,1592923294644,10,speaker,"shiny blue metal pitcher"
3954-5,1592923308858,11,speaker,"green tote bag"
3954-5,1592923324823,12,speaker,"green plastic cup"
3954-5,1592923334457,13,speaker,"box"
3954-5,1592923344979,14,speaker,"chest"
3954-5,1592923362261,15,speaker,"oval ball"
3954-5,1592923373564,16,speaker,"blue tote bag"
3954-5,1592923382833,17,speaker,"blue oval"
3954-5,1592923393972,18,speaker,"bowl"
3954-5,1592923400655,19,speaker,"vase"
3954-5,1592923408014,20,speaker,"green oval"
3954-5,1592923416072,21,speaker,"green chair"
3954-5,1592923433004,22,speaker,"green bottle with cork top"
3954-5,1592923445775,23,speaker,"blue jean jacket"
3954-5,1592923457286,24,speaker,"long blue table"
3954-5,1592923464391,25,speaker,"ruler"
3954-5,1592923484104,26,speaker,"green bottle large"
3954-5,1592923492331,27,speaker,"ruler"
3954-5,1592923501657,28,speaker,"blue table"
3954-5,1592923509989,29,speaker,"green spoon"
3954-5,1592923521357,30,speaker,"green table"
3954-5,1592923527866,31,speaker,"door"
3954-5,1592923536403,32,speaker,"blue plate"
