gameid,time,roundNum,sender,contents
7576-4,1592923243360,1,speaker,"made of glass"
7576-4,1592923252903,2,speaker,"green plastic bottle"
7576-4,1592923262370,3,speaker,"light blue plate"
7576-4,1592923270565,4,speaker,"door"
7576-4,1592923285666,5,speaker,"wooden vase"
7576-4,1592923293275,6,speaker,"green spoon"
7576-4,1592923299321,7,speaker,"green chair"
7576-4,1592923305061,8,speaker,"blue ball"
7576-4,1592923311231,9,speaker,"grey table"
7576-4,1592923318337,10,speaker,"green boot"
7576-4,1592923324489,11,speaker,"green ball"
7576-4,1592923330150,12,speaker,"blue ruler"
7576-4,1592923339299,13,speaker,"glass bowl"
7576-4,1592923346242,14,speaker,"red door"
7576-4,1592923351529,15,speaker,"blue vase"
7576-4,1592923357667,16,speaker,"green bag"
7576-4,1592923363840,17,speaker,"grey ball"
7576-4,1592923371941,18,speaker,"green tbale"
7576-4,1592923373072,18,speaker,"table"
7576-4,1592923378050,19,speaker,"blue plate"
7576-4,1592923389761,20,speaker,"purple chair"
7576-4,1592923400267,21,speaker,"green bottle with grey metal lid thing"
7576-4,1592923411467,22,speaker,"blue metallic vase"
7576-4,1592923419145,23,speaker,"green ruler"
7576-4,1592923426226,24,speaker,"darker blue plate"
7576-4,1592923433020,25,speaker,"blue bowl"
7576-4,1592923442401,26,speaker,"larger blue table"
7576-4,1592923449217,27,speaker,"blue bag"
7576-4,1592923455666,28,speaker,"blue bowl"
7576-4,1592923461338,29,speaker,"green box"
7576-4,1592923469141,30,speaker,"purple jean jacket"
7576-4,1592923480951,30,speaker,"like a denim jacket"
7576-4,1592923484901,31,speaker,"green plastic cup"
7576-4,1592923496185,32,speaker,"bblue table"
