gameid,time,roundNum,sender,contents
2401-4,1592923323504,1,listener,"Hello!"
2401-4,1592923326046,1,speaker,"it is the metallic looking one"
2401-4,1592923336797,2,speaker,"blue ball"
2401-4,1592923347575,3,speaker,"wood vase"
2401-4,1592923353847,4,speaker,"red door"
2401-4,1592923359418,5,speaker,"green ruler"
2401-4,1592923365220,6,speaker,"blue vase"
2401-4,1592923370937,7,speaker,"green boot"
2401-4,1592923377615,8,speaker,"green wood spoon"
2401-4,1592923385946,9,speaker,"darker blue plate"
2401-4,1592923392168,10,speaker,"blue ruler"
2401-4,1592923399633,11,speaker,"purple jean jacket"
2401-4,1592923405516,12,speaker,"blue bowl"
2401-4,1592923411659,13,speaker,"paper blue plate"
2401-4,1592923417370,14,speaker,"silver ball"
2401-4,1592923423464,15,speaker,"blue plastic cup"
2401-4,1592923426212,15,speaker,"green"
2401-4,1592923427178,15,speaker,"sorry"
2401-4,1592923430428,15,listener,"cool"
2401-4,1592923437019,16,speaker,"green chair"
2401-4,1592923447212,17,speaker,"plastic green bottle"
2401-4,1592923453031,18,speaker,"green box"
2401-4,1592923458585,19,speaker,"green ball"
2401-4,1592923463432,20,speaker,"silver table"
2401-4,1592923467902,21,speaker,"blue box"
2401-4,1592923473220,22,speaker,"blue plate"
2401-4,1592923480888,23,speaker,"green glass bottle"
2401-4,1592923487089,24,speaker,"blue long table"
2401-4,1592923492993,25,speaker,"blue bowl"
2401-4,1592923498379,26,speaker,"purple chair"
2401-4,1592923503168,27,speaker,"green table"
2401-4,1592923508062,28,speaker,"door"
2401-4,1592923511933,29,speaker,"bag"
2401-4,1592923515636,30,speaker,"bag"
2401-4,1592923519957,31,speaker,"blue table"
2401-4,1592923524821,32,speaker,"green bowl"
