gameid,time,roundNum,sender,contents
9533-3,1592923553640,1,speaker,"green boot"
9533-3,1592923558894,2,speaker,"ruler"
9533-3,1592923566752,3,speaker,"blue vase"
9533-3,1592923572974,4,speaker,"green chair"
9533-3,1592923577823,5,speaker,"bowl"
9533-3,1592923584001,6,speaker,"plastic bag"
9533-3,1592923593504,7,speaker,"green folding table"
9533-3,1592923597778,8,speaker,"ruler"
9533-3,1592923602202,9,speaker,"door"
9533-3,1592923613587,10,speaker,"purple denim looking jacket"
9533-3,1592923619597,11,speaker,"blue box"
9533-3,1592923625133,12,speaker,"green box"
9533-3,1592923629504,13,speaker,"vase"
9533-3,1592923638456,14,speaker,"green glass bottle"
9533-3,1592923646487,15,speaker,"blue folding table"
9533-3,1592923652056,16,speaker,"purple chair"
9533-3,1592923660473,17,speaker,"grey folding table"
9533-3,1592923666740,18,speaker,"silver ball"
9533-3,1592923671929,19,speaker,"green ball"
9533-3,1592923677514,20,speaker,"plastic bag"
9533-3,1592923683979,21,speaker,"glass bowl"
9533-3,1592923690070,22,speaker,"plastic bottle"
9533-3,1592923697462,23,speaker,"green solo cup"
9533-3,1592923703630,24,speaker,"blue plate"
9533-3,1592923711702,25,speaker,"blue ball"
9533-3,1592923721208,26,speaker,"blue paper plate"
9533-3,1592923726706,27,speaker,"glass bowl"
9533-3,1592923733674,28,speaker,"blue plastic plate"
9533-3,1592923741688,29,speaker,"metal pitcher"
9533-3,1592923747714,30,speaker,"door"
9533-3,1592923752746,31,speaker,"blue table"
9533-3,1592923758668,32,speaker,"green spoon"
