gameid,time,roundNum,sender,contents
3260-8,1592923579183,1,speaker,"box"
3260-8,1592923600344,1,speaker,"blue wooden box"
3260-8,1592923620706,2,speaker,"ruler"
3260-8,1592923629001,2,speaker,"blue"
3260-8,1592923632831,3,speaker,"green"
3260-8,1592923654663,4,speaker,"glass green bottle"
3260-8,1592923661158,5,speaker,"blue ball"
3260-8,1592923666936,6,speaker,"grey table"
3260-8,1592923674211,7,speaker,"vase"
3260-8,1592923679528,8,speaker,"ruler"
3260-8,1592923684600,9,speaker,"box"
3260-8,1592923689394,10,speaker,"door"
3260-8,1592923695335,11,speaker,"ball"
3260-8,1592923703622,12,speaker,"blue metal vase"
3260-8,1592923708383,13,speaker,"door"
3260-8,1592923716739,14,speaker,"blue plastic plate"
3260-8,1592923726336,15,speaker,"plastic green"
3260-8,1592923732544,16,speaker,"purple"
3260-8,1592923738297,17,speaker,"green"
3260-8,1592923750535,18,speaker,"large blue table, darker blue"
3260-8,1592923757025,19,speaker,"green"
3260-8,1592923763050,20,speaker,"bag"
3260-8,1592923768360,21,speaker,"bag"
3260-8,1592923774031,22,speaker,"blue"
3260-8,1592923781858,23,speaker,"same blue as last one"
3260-8,1592923793816,24,speaker,"jean purple"
3260-8,1592923802765,25,speaker,"green"
3260-8,1592923807953,26,speaker,"bowl"
3260-8,1592923812833,27,speaker,"ball"
3260-8,1592923818016,28,speaker,"green"
3260-8,1592923821912,29,speaker,"blue"
3260-8,1592923832584,30,speaker,"bowl"
3260-8,1592923840523,31,speaker,"green plastic cup"
3260-8,1592923848338,32,speaker,"blue vase"
