gameid,time,roundNum,sender,contents
5780-7,1592923641814,1,speaker,"wooden vase"
5780-7,1592923656111,2,speaker,"ruler"
5780-7,1592923662452,3,speaker,"door"
5780-7,1592923669205,4,speaker,"green table"
5780-7,1592923687277,5,speaker,"purple jean jacket"
5780-7,1592923696142,6,speaker,"green chair"
5780-7,1592923704594,7,speaker,"glass bowl"
5780-7,1592923720667,8,speaker,"larger blue table"
5780-7,1592923728706,9,speaker,"blue"
5780-7,1592923736504,10,speaker,"ruler"
5780-7,1592923746802,11,speaker,"blue metal jug"
5780-7,1592923754881,12,speaker,"grey table"
5780-7,1592923762948,13,speaker,"blue trunk"
5780-7,1592923778628,14,speaker,"blue plastic plate (odd one out)"
5780-7,1592923785363,15,speaker,"green ball"
5780-7,1592923792640,16,speaker,"green bowl"
5780-7,1592923798045,17,speaker,"purple chair"
5780-7,1592923804324,18,speaker,"green plastic bag"
5780-7,1592923810929,19,speaker,"blue pastic bag"
5780-7,1592923817869,20,speaker,"green spoon"
5780-7,1592923827631,21,speaker,"blue metal bowl"
5780-7,1592923833067,22,speaker,"red door"
5780-7,1592923840136,23,speaker,"blue paper plate"
5780-7,1592923850539,24,speaker,"green box"
5780-7,1592923857224,25,speaker,"blue table"
5780-7,1592923867453,26,speaker,"green glass bottle"
5780-7,1592923877281,27,speaker,"green boot"
5780-7,1592923883628,28,speaker,"green plastic bottle"
5780-7,1592923889886,29,speaker,"blue ball"
5780-7,1592923895204,30,speaker,"grey ball"
5780-7,1592923902953,31,speaker,"blue wooden vase"
5780-7,1592923911854,32,speaker,"green solo cup"
