gameid,time,roundNum,sender,contents
2053-a,1592923980155,1,listener,"green"
2053-a,1592923982893,1,speaker,"Purple chair"
2053-a,1592924002810,2,listener,"blue plate"
2053-a,1592924002993,2,speaker,"Plate that's a darker shade of blue"
2053-a,1592924013962,3,speaker,"green box"
2053-a,1592924024413,4,speaker,"brown vase"
2053-a,1592924038893,5,speaker,"green solo cup"
2053-a,1592924062631,6,speaker,"round silver ball (looks like a bowling ball)"
2053-a,1592924074461,7,speaker,"green table"
2053-a,1592924082219,8,speaker,"red door"
2053-a,1592924099599,9,speaker,"green boot"
2053-a,1592924111807,10,speaker,"green chair"
2053-a,1592924130558,11,speaker,"round green ball"
2053-a,1592924153440,12,speaker,"glass green bottle with metal clasp top"
2053-a,1592924166508,13,speaker,"brown door"
2053-a,1592924179827,14,speaker,"blue table"
2053-a,1592924190478,15,speaker,"blue ruler"
2053-a,1592924207197,16,speaker,"green wooden spoon"
2053-a,1592924219728,17,speaker,"clear glass bowl"
2053-a,1592924258401,18,speaker,"blue plate that's a lighter shade of blue"
2053-a,1592924269372,19,speaker,"blue plate"
2053-a,1592924285966,20,speaker,"green glass bowl"
2053-a,1592924313010,21,speaker,"plastic green bottle with plastic screw top "
2053-a,1592924367828,22,speaker,"blue pitcher with curved handle, looks like metal and handle connects to pitcher"
2053-a,1592924400559,23,speaker,"wooden blue box"
2053-a,1592924420611,24,speaker,"larger blue table"
2053-a,1592924436051,25,speaker,"purple denim jacket"
2053-a,1592924447077,26,speaker,"silver table"
2053-a,1592924455158,27,speaker,"green plastic bag"
2053-a,1592924463382,28,speaker,"blue plastic bag"
2053-a,1592924473183,29,speaker,"blue ball"
2053-a,1592924484399,30,speaker,"silver mixing bowl"
2053-a,1592924499554,31,speaker,"blue vase"
2053-a,1592924511159,32,speaker,"green ruler"
