gameid,time,roundNum,sender,contents
9030-0,1593122864128,1,speaker,"vgaerg"
9030-0,1593122867765,1,listener,"vsfg"
9030-0,1593122871468,2,listener,"sbs"
9030-0,1593122874254,3,listener,"vsbt"
9030-0,1593122961430,4,speaker,"green plastic cup"
9030-0,1593122971076,4,listener,"bebe"
9030-0,1593122992616,5,speaker,"green leather boot"
9030-0,1593123002176,6,listener,"rvae"
9030-0,1593123005195,7,listener,"dava"
9030-0,1593123007694,8,listener,"fav"
9030-0,1593123010334,9,listener,"vsbv"
9030-0,1593123013165,10,listener,"casv"
9030-0,1593123015996,11,listener,"vadv"
9030-0,1593123022826,12,listener,"scv"
9030-0,1593123037580,13,speaker,"purple denim jacket"
9030-0,1593123050154,14,listener,"vsb"
9030-0,1593123053093,15,listener,"faeb"
9030-0,1593123055994,16,listener,"rbgw"
9030-0,1593123072052,17,speaker,"silver metal table"
9030-0,1593123089416,18,listener,";;;\"
9030-0,1593123102140,19,speaker,"green plastic bottle"
9030-0,1593123115939,20,listener,"vasdb"
9030-0,1593123119431,21,listener,"vdsd"
9030-0,1593123128638,22,listener,"gfds"
9030-0,1593123131623,23,listener,"ewbgq"
9030-0,1593123134176,24,listener,"vadvg"
9030-0,1593123137199,25,listener,"vavbad"
9030-0,1593123139927,26,listener,"agar"
9030-0,1593123143447,27,listener,"vfab"
9030-0,1593123163318,28,listener,"hkgvb"
9030-0,1593123190975,29,speaker,"blue metal pitcher"
9030-0,1593123204757,30,listener,"fveb"
9030-0,1593123223397,31,speaker,"green glass bottle"
9030-0,1593123234497,31,listener," aflbv;af"
9030-0,1593123247266,32,speaker,"vab"
